RAVE_OBS_ID,RAVEID,RA,DEC,HRV,eHRV,StdDev_HRV,MAD_HRV,CorrelationCoeff,PeakHeight,PeakWidth,CorrectionRV,SkyRV,eSkyRV,SkyCorrelationCoeff,Vrot_SPARV,ZeroPointFLAG,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,TEFF,LOGG,FE_H,O_H,MG_H,AL_H,SI_H,CA_H,NI_H,E_TEFF,E_LOGG,E_FE_H,E_O_H,E_MG_H,E_AL_H,E_SI_H,E_CA_H,E_NI_H,SNR,R_CHI_SQ,QC
20100604_1905m74_143,J191709.2-765018,289.288208333333,-76.83825,-28.067,15.674,6.48911620844215,5.585,4.34,0.19,70.572,-0.167,2.128,0.621,45.32,26.0,BBC,c,n,n,n,n,c,n,c,o,g,c,e,c,n,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.773141099854098,192.31097025928258,False
20090719_1905m74_128,J192217.5-750611,290.572833333333,-75.1029722222222,-19.537,1.315,0.576315924163514,0.446480000000001,49.99,0.96,68.302,-1.28,-2.202,3.363,6.52,37.0,BBS,e,e,n,n,e,n,n,e,n,e,e,e,e,e,e,e,n,n,n,n,4975.462166741325,4.683931345421943,0.15541995314950427,nan,nan,nan,nan,nan,nan,84.03053429280511,0.12478223956224879,0.06698840055201837,nan,nan,nan,nan,nan,nan,47.914427937219294,0.7409372228636991,True
20060406_1610m02_123,J161613.9-025501,244.05775,-2.91680555555556,-22.533,10.273,763.110164121574,615.2495,2.07,0.084,44.898,0.218,1.989,0.627,41.14,nan,BBC,a,n,g,g,g,n,n,n,g,n,n,n,n,n,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.9728410817788635,97150.30111998683,False
20060406_1610m02_066,J160758.8-005634,241.995,-0.94275,-28.996,1.03,0.323336357374175,0.27784,65.15,0.981,70.04,-0.363,-13.17,14.202,0.81,31.0,BBC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,e,n,n,5781.926608323891,4.255118365656903,-0.10934156795882305,nan,nan,nan,nan,nan,nan,78.478972674864,0.12973701830918877,0.06237971639543559,nan,nan,nan,nan,nan,nan,78.08941416702557,0.7396935161432986,True
20091205_0421m81_115,J051254.5-812521,78.22725,-81.4224166666667,-1.749,1.223,nan,nan,49.81,0.979,63.954,-0.824,-1.29,9.734,1.45,33.0,AAS*,n,n,n,e,n,n,e,n,n,e,n,n,e,n,n,n,n,n,n,n,4612.502964444383,4.4925462041582005,0.16999999882968342,nan,nan,nan,nan,nan,nan,75.07994663678421,0.12429955436594153,0.06243841786539987,nan,nan,nan,nan,nan,nan,75.07138788610152,0.9570039807788292,True
20091203_0421m81_112,J051259.9-812443,78.249375,-81.4120277777778,-3.076,1.119,0.390211054003685,0.352,52.27,0.947,62.418,0.404,3.133,6.436,2.86,32.0,BAC,n,e,n,n,n,e,e,n,e,e,n,e,e,n,n,n,n,e,n,e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56.97729982921038,1.8260422287395264,True
20080626_2220m35_054,J220942.6-334515,332.427625,-33.7542777777778,-6.03,1.201,0.429315786390909,0.322,59.99,0.975,73.703,-2.949,-19.358,16.226,0.73,29.0,DAC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,6131.889646121382,4.403194452991533,0.0747006113430829,nan,nan,nan,nan,nan,nan,79.44222778630939,0.12441550024642865,0.06223184256231335,nan,nan,nan,nan,nan,nan,67.79191202091054,0.7711947903160938,True
20080927_2220m35_053,J220938.7-334508,332.411125,-33.7522777777778,-7.927,1.187,0.580785378221211,0.4463,61.04,0.959,76.269,0.814,6.061,15.07,0.62,44.0,EBC*,e,n,n,n,n,e,e,n,e,e,n,n,n,n,n,e,n,n,n,n,5349.521358848903,4.653027883332047,0.0534902820498086,nan,nan,nan,nan,nan,nan,91.60546433368016,0.12584201129516864,0.06785265270576656,nan,nan,nan,nan,nan,nan,46.90083908871954,0.6570978043563533,True
20100509_2002m55_061,J195508.5-535951,298.785416666667,-53.9973611111111,-54.321,1.02,0.663015032509321,0.51528,57.63,0.94,63.208,-1.381,-2.958,2.36,10.09,35.0,BAC,n,n,n,n,n,n,n,e,n,e,n,n,n,e,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.894276988849704,0.7080582399487434,True
20100505_2004m53_024,J195511.1-535941,298.796333333333,-53.9945833333333,-52.508,1.168,0.459575178229247,0.338299999999999,50.39,0.957,63.415,-0.758,-1.313,3.574,6.35,36.0,BBS,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.8606867348454,0.6467683134051463,True
